"MfgCode","MfgName"
"1126","VisionTek"
"1127","PhotoWorks"
"1128","Graphic Imaging Technology Inc."
"1129","ContentWatch Inc."
"113","Bea Systems, Inc."
"1130","2K"
"1131","Firaxis Games"
"1132","Marvel Characters Inc."
"1133","Mindjet Corporation"
"1134","Capcom Entertainment Inc"
"1135","Gobe Software"
"1136","Legendo Entertainment"
"1137","Numlock Software"
"1138","Sophos Plc"
"1139","Kaspersky Lab Ltd"
"114","Beermat Software Ltd."
"1140","GSC Game World"
"1141","Deep Silver"
"1142","Genes & Things, Inc."
"1143","SourcTec Software Co., Ltd"
"1144","Warner Bros. Interactive Entertainment Inc."
"1145","Allume Systems, Inc."
"1146","Wide Angle Software"
"1147","Got Game Entertainment"
"1148","Elcomsoft Co ltd"
"1149","Fogware"
"115","Bell Atlantic Internet Solutions Inc."
"1150","Greenwave"
"1151","Oberon Media"
"1152","PrivacyEraser Computing Inc"
"1153","PC Tools"
"1154","City Interactive"
"1155","MumboJumbo"
"1156","Macware, Inc"
"1157","BLING SOFTWARE LTD"
"1158","Check Point Software Technologies Inc."
"1159","SRS Labs"
"116","Berkley Systems"
"1160","Epic Games"
"1161","Midway"
"1162","iWin inc"
"1163","NCsoft"
"1164","BioWare"
"1165","Innovative Knowledge"
"1166","Leister Productions Inc"
"1167","WetStone Technologies Inc"
"1168","RootsMagic Inc"
"1169","WEEKLY READER PUBLISHING "
"117","Bernoulli Box Enhancement Software"
"1170","Sage Software"
"1171","Datapath Limited"
"1172","VDONET Corporation"
"1173","CHILLISOFT PTY LTD"
"1174","LEADTEK RESEARCH INC"
"1175","Art Technology Group Inc"
"1176","Graphsim Entertainment"
"1177","Lead Pursuit Inc"
"1178","datacolor"
"1179","InfoWorks Technology Company"
"118","Best Software SB Inc."
"1180","Wise Solutions"
"1181","lynda.com"
"1182","TeraTech Inc"
"1183","Nero Inc"
"1184","Zoetrope Interactive"
"1185","Asobo Studio"
"1186","Brash Entertainment LLC"
"1187","ReaSoft Development"
"1188","Acronis, Inc"
"1189","Datapro Information Services Group"
"119","Bethesda SoftWorks"
"1190","Myelin Media LLC"
"1191","Key Curriculum Press"
"1192","Internet Security Systems, Inc."
"1193","SmileOnMyMac, LLC"
"1194","TechSmith Corporation"
"1195","Ektron, Inc."
"1196","PlayFirst, Inc."
"1197","Thomson ResearchSoft"
"1198","BitDefender, LLC"
"1199","VCampus Corporation"
"12","AGE Logic Inc."
"120","Bigelow & Holmes Inc."
"1200","Lutris Technologies"
"1201","Macmillan Digital Publishing, USA"
"1202","Argus Systems Group, Inc."
"1203","Educational Initiatives Group, Inc."
"1204","Syngress Publishing"
"1205","Relytec"
"1206","RIGHT Utilities, Inc"
"1207","AET Data Consulting"
"1208","A1Tech, Inc."
"1209","EAST Technologies"
"121","Bit Software Inc."
"1210","Robin Hood Software Ltd."
"1211","LSoft Technologies Inc"
"1212","Mireth Technology "
"1213","Colasoft Co."
"1214","StegoArchive.com"
"1215","CyberScrub"
"1216","Reflexive Entertainment"
"1217","Wildfire Studios"
"1218","HRB Digital LLC"
"1219","honestech"
"122","Bitstream Inc."
"1220","Ascaron Entertainment"
"1221","The Generations Network Inc"
"1222","Creative Home"
"1223","Parallels Software International, Inc."
"1224","Core Learning, Inc."
"1225","SYSTRAN Software, Inc."
"1226","Sakhr Software Company"
"1227","Lighthouse Interactive Game Publishing B.V."
"1228","Detto Technologies, Inc"
"1229","fluenz"
"123","Black Isle Studios"
"1230","Sports Interactive Limited"
"1231","SEGA Europe Ltd"
"1232","Language Engineering Company"
"1233","Lasting Impressions for Paper, Inc."
"1234","Chief Architect"
"1235","Electronic Arts, Inc."
"1236","Acoustica, Inc."
"1237","Stardock"
"1238","Carry-a-Tune Technologies"
"1239","Take Two Interactive Software"
"123CopyDVD","123 Copy DVD"
"124","Black Mashannon Systems"
"1240","Punch! Software, LLC"
"1241","IPE Music"
"1242","Eversim"
"1243","Phantom EFX"
"1244","PG Music Inc."
"1245","Make Music Inc."
"1246","MAGIX"
"1247","One Voice Technologies"
"1248","Turbine Inc"
"1249","Avid Technology, Inc."
"125","Black Tooth Inc"
"1250","Virtual Mechanics inc"
"1251","Systweak, Inc."
"1252","Great Game Products"
"1253","Clear Crown Studios"
"1254","TopWare Interactive, Inc."
"1255","2D Boy, Inc."
"1256","PurpleGhost Software, Inc."
"1257","Serif (Europe) Ltd."
"1258","PopCap Games, Inc."
"1259","eMedia Music Corp."
"126","Blizzard Entertainment Inc."
"1260","Valve Corporation"
"1261","Viva Media LLC"
"1262","Cypherix Software"
"1263","Xilisoft Corporation"
"1264","Wild Tangent, Inc."
"1265","SpinTop Media, Inc."
"1266","Big Fish Games, Inc."
"1267","Two Pilots"
"1268","CyberPatrol, LLC"
"1269","You Need A Budget"
"127","Block Financial Corp."
"1270","Overture Films, LLC"
"1271","THQ, Inc."
"1272","Radium Technologies, Inc."
"1273","Felt Tip Software"
"1274","2nd Story Software, Inc."
"1275","equinux USA, Inc."
"1276","DeMarque, Inc."
"1277","MicroVision Development, Inc."
"1278","Radon Labs"
"1279","CA Inc."
"128","Blockbuster Entertainment Inc."
"1281","K7 Computing"
"1282","Summitsoft Corporation"
"1283","Nik Software Inc"
"1284","Emsi Software"
"1285","Sunbelt Software"
"1286","ALWIL Software"
"1287","Infinite Interactive"
"1288","JoeSoft"
"1289","F-Secure Inc"
"129","Blue Data Inc."
"1290","Beijing Rising International Software Co.,Ltd."
"1291","Techland"
"1292","Digital Spray Studios"
"1293","Sugar Games"
"1294","PrimaSoft PC, Inc."
"1295","Oberon Games"
"1296","2015 Inc."
"1297","Wild Hare Entertainment"
"1298","GoBit Games"
"1299","Bold Games"
"13","ANSYS"
"130","Blue Ocean Software Inc."
"1300","Gas Powered Games"
"1301","SouthPeak Games"
"1302","FreshGames LLC"
"1303","Jeopardy Productions, Inc."
"1304","Sony Pictures Digital, Inc."
"1305","Califon Productions, Inc."
"1306","Play Ten Interactive"
"1307","1C Company"
"1308","G5 Software"
"1309","Evolved Games, Inc."
"131","BookMaker Corporation"
"1310","The Software MacKiev Company"
"1311","FreemantleMedia Enterprisees"
"1312","Norman ASA"
"1313","Microcomputer Systems Inc"
"1314","Be Inc."
"1315","SunPro"
"1316","WayTech Development Inc. "
"1317","Tseng Labs Inc."
"1318","e-frontier"
"1319","The Farm 51"
"132","Books That Work"
"1320","TuneUp Distribution GmbH"
"1321","Alsoft Inc."
"1325","Eovia Corporation"
"1326","MicroLogic Software"
"1327","Mariner Software, Inc."
"1328","Application Systems Heidelberg Software GmBH"
"1329","Application Systems Paris SARL"
"133","Boomerang Software"
"1330","plasq"
"1331","Arobas Music"
"1332","Computer Games Magazine"
"1333","First International Computer, Inc."
"1334","Clearwell Systems"
"1335","Geobra Brandstaetter, GmbH & Co. KG"
"1336","HMH Interactive"
"1337","Morgen Studios"
"1338","Circus Ponies Software, Inc."
"1339","Kutoka Interactive, Inc."
"134","Boris"
"1340","Enteractive Distributing Co., LLC"
"1341","The Game Creators, Ltd."
"1342","U.S. Institute of Languages"
"1343","EMC Corporation"
"1344","Micromat Incorporated"
"1345","MacAddict Magazine"
"1346","Heligon Ltd."
"1347","Vertus"
"1348","Thomson Reuters"
"1349","Power Think Publishing"
"135","Borland International Inc."
"1350","The Western Standard Publishing Company"
"1351","Computer Business Solutions"
"1352","New Mexico Software, Inc."
"1353","Steinberg Media Technologies GmbH"
"1354","Final Draft, Inc."
"1355","Ancestry.com"
"1356","Lexicon Entertainment"
"1357","Sony Creative Software Inc."
"1358","Administaff Business Services L.P."
"1359","HIT Entertainment"
"136","Borland Software Corp."
"1360","algoriddim"
"1361","propellerhead"
"1362","The Tiffen Company"
"1363","Nuclearvision Entertainment Corp."
"1364","Whiptail Interactive, LLC"
"1365","Infinity Ward"
"1366","Merriam-Webster"
"1367","Clearvue & SVE Inc."
"1368","Barron's Educational Series Inc."
"1369","Sabi, Inc"
"137","Brad Quick"
"1370","iZotope, Inc"
"1371","Cognito Systems Inc."
"1372","Panda Security"
"1373","Sesame Workshop"
"1374","Dark Basic Software Ltd."
"1376","Frozenbyte, Inc"
"1377","Jungle Software"
"1378","FindEx.com, Inc. "
"1379","Hidden Path Entertainment, Inc."
"138","Brady"
"1380","Hachette Multimedia Education"
"1381","HDRsoft Sarl"
"1382","SurfSecret"
"1383","Creativity Software ltd"
"1384","MacSoft"
"1385","Digital Extremes"
"1386","Future Network USA"
"1387","IDG"
"1388","Verizon Wireless"
"1389","Silicon Graphics, Inc."
"139","Brainchild Design"
"1390","CCR, Inc."
"1391","Debian Project"
"1392","Lehmanns Fachbuchhandlung"
"1393","NetBSD Foundation, Inc."
"1394","Walnut Creek CDROM"
"1395","Gridiron Software, Inc."
"1396","Applix"
"1397","Cryo Interactive Entertainment"
"1398","Greenwich Mean Time"
"1399","Portrait Displays, Inc."
"14","AP Professional"
"140","Britannica Inc."
"1400","Fujitsu PC Corporation"
"1401","Digianswer"
"1402","Living Books"
"1403","E-Ticket Inc."
"1404","Shell"
"1405","Electronics Workbench Corporation"
"1406","Tessco"
"1407","Digi-Key Corporation"
"1408","Infinite Technologies"
"1409","Siemens AG"
"141","Broderbund Software Inc"
"1410","Westwind Media"
"1411","Report2Web Corporation"
"1412","SonicWALL, Inc."
"1413","DoubleClick Inc."
"1414","Element K Content LLC."
"1415","TelCentris, Inc."
"1416","Zimbra"
"1417","Marware, Inc."
"1418","Cultured Code"
"1419","ooVoo LLC"
"142","Buena Vist Software"
"1420","Nokia Corporation"
"1421","LaCie"
"1422","Powerware Corporation"
"1423","Maxence Bernard"
"1424","Software in the Public Interest, Inc. "
"1426","Marek Jasinski"
"1427","Nitro PDF, Inc."
"1428","Skype Limited"
"1429","BitTorrent, Inc."
"143","Buerg Software"
"1430","Vuze, Inc."
"1431","Lime Wire LLC"
"1432","Quintus Corporation"
"1433","Vertigo Technology Inc."
"1434","Celestin Company, Inc."
"1435","Irfan Skiljan"
"1436","Notably Good Ltd"
"1437","Tabdeelee, B.V."
"1438","Georgio Tani"
"1439","Binary Fortress Software"
"144","BusLogic"
"1440","FileZilla Project"
"1441","Nils Koelling"
"1442","VirtuaWin"
"1443","DVDxDVD Inc"
"1444","Nero AG"
"1445","VA Linux Systems"
"1446","Santa Cruz Operation (SCO)"
"1447","Unisyn Voting Solutions"
"1448","OldApps.com"
"1449","Download3000"
"145","Business Logic Corporation"
"1450","Ares.com"
"1451","iMesh, Inc."
"1452","Discordia, Ltd."
"1453","Musiclab, LLC"
"1454","Filehippo.com"
"1455","Micro House International Corp."
"1456","CompuMaster"
"1457","Eurosoft Inc."
"1458","Ansoft Corp."
"1459","CyberMax Computer, Inc."
"146","Bytesize CD-ROM Inc."
"1460","Alawar Entertainment, Inc."
"1461","Business Resource Software, Inc."
"1462","Fugazo, Inc."
"1463","Frictional Games"
"1465","AVG Technologies CZ, s.r.o."
"1466","Vast Studios Inc."
"1467","Auralog SA"
"1468","ACCO Brands, Inc."
"1469","Belkin Corporation"
"147","C&M Software"
"1470","LTR Publishing, Inc."
"1471","Focusrite Audio Engineering Ltd."
"1472","Bubblegum & Carlton Cards Ltd"
"1473","Global Software Publishing Ltd"
"1474","Advanced Media Group"
"1475","21 Rocks LLC"
"1476","Game Agents Corporation"
"1477","Team Meat"
"1478","Trion Worlds, Inc."
"1479","DVDxDVD"
"148","CAM Development"
"1480","Faronics Incorporated"
"1481","Crytek GmbH"
"1482","NComputing"
"1483","Digitope Limited"
"1484","Sunburst Technology"
"1485","Gogii Games"
"1487","TERC, Inc."
"1488","E-on Software, Inc."
"1489","Klaus Knopper"
"149","CDH Productions"
"1490","Patrick Volkerding"
"1491","Judd Vinet and Aaron Griffin"
"1492","Gentoo Foundation"
"1493","Denis Roio / Jaromil"
"1494","BrandTech"
"1495","Avanquest North America Inc."
"1496","InterCon Systems Corporation"
"1497","Personal Training Systems"
"1498","Openwall"
"1499","Peerless Software"
"15","ASAP Software Express, INC"
"150","CE Software Inc."
"1500","Smart Projects"
"1501","Fellowes"
"1502","Neato"
"1503","International TechneGroup, Inc."
"1504","Pantone LLC"
"1505","Simplex"
"1506","Thomas Publishing Co."
"1507","Help Desk Technology International Corporation"
"1508","Infinite Skills, Inc."
"1509","DISA Montgomery"
"151","CISS"
"1510","Next Computer, Inc."
"1511","D-Link"
"1512","Castelle"
"1513","GIT Media Group, Inc."
"1514","Cyco Software"
"1515","Xerox Corporation"
"1516","Cinemaware Marquee"
"1517","Twentieth Century Fox Film Corporation"
"1518","Hallmark Licensing, Inc."
"1519","Just Flight"
"152","CMP Media LLC"
"1520","Multimedia 2000, Inc."
"1521","Graphisoft"
"1522","Astound Inc."
"1523","MetaTools, Inc."
"1524","Ricoh Co., Ltd."
"1525","PremiumSoft CyberTech Limited"
"1526","Berkeley Software Design, Inc."
"1527","SYS-CON Media"
"1528","Casterman/Microids"
"1529","SDRC"
"153","CRT Multimedia"
"1530","WiebeTech"
"1531","Parallels Holdings Ltd."
"1532","railsimulator.com, Ltd."
"1533","Canon Computer Systems, Inc."
"1534","Imagination Pilots, Inc."
"1535","Absolute Software"
"1536","The Electric Quilt Company"
"1537","QPS, Inc."
"1538","Hawking Technologies, Inc"
"1539","Easy Software Products"
"154","CU-seeMe Networks"
"1540","Perl.org"
"1541","The Apache Software Foundation"
"1542","GetData Pty Ltd."
"1543","WhiteCanyon, Inc."
"1544","LC Technology International, Inc."
"1545","HRB Technology, LLC."
"1546","Chapman & Hall"
"1547","Mastiff, LLC"
"1548","astragon Software GmbH"
"1549","Excalibur Publishing Limited"
"155","CYA Technologies"
"1550","Rovi Corporation"
"1551","Teyon"
"1552","ChessBase GmbH"
"1553","Mollers & Bellinghausen Verlags GmbH"
"1554","GFI Software, Inc."
"1555","Hex-Rays SA "
"1556","Awareness Technologies"
"1557","Wizards of the Coast LLC "
"1558","Free Software Foundation, Inc."
"1559","G Data Software, Inc."
"156","CableTron Systems Inc."
"1560","AplusB Software Corp."
"1561","Simon Sez IT, LLC."
"1562","Raytheon BBN Technologies"
"1563","The PHP Group"
"1564","The Sleuth Kit "
"1565","GamersFirst"
"1566","Plextor, LLC."
"1567","NirSoft"
"1568","JASC, Inc."
"1569","Volatile Systems LLC."
"157","Caere Corporation"
"1570","Business Objects Software Limited"
"1571","Laminar Research"
"1572","Diskeeper Corporation"
"1573","Just A Game GmbH"
"1574","KTX  Software Development"
"1575","Advanced Research Corporation"
"1576","dtp entertainment AG"
"1577","Xatrix Entertainment, Inc."
"1578","Sold-Out Software"
"1579","Kuijf & Kuijf Software"
"158","Cakewalk"
"1580","SmidgeonSoft, LLC"
"1581","Brighter Child Interactive, LLC."
"1582","Brighter Minds Media, LLC"
"1583","PerformSmart"
"1584","Titanium’s Software"
"1585","MOOII TECH"
"1586","Burnaware Technologies"
"1587","Hungry Minds, Inc."
"1588","Don Ho"
"1589","Highbury-Paragon, Ltd."
"159","Caldera Inc."
"1590","SmileOnMyMac, LLC dba Smile"
"1591","Anvisoft Corporation"
"1592","VideoLan Organization"
"1593","Digital Forensics Solutions"
"1594","AgileBits, Inc."
"1595","ImaginEngine Corp."
"1596","Avira GmbH & Co. KG"
"1597","Manaccom Pty Ltd"
"1598","Bohemia Interactive"
"1599","AVAST Software a.s."
"16","ASPYR"
"160","Calera"
"1600","bitComposer Games GmbH"
"1601","PHP"
"1602","Kalypso Media Group"
"1603","SubRosaSoft.com Inc."
"1604","JAM Software GmbH"
"1605"," ZPAY Payroll Systems, Inc."
"1606","TimeGate Studios, Inc."
"1607","One Price Taxes"
"1608","John Wiley  & Sons, Inc."
"1609","Teton Data Systems"
"161","Caligari Corp."
"1610","ICN"
"1611","HomeworkHelp.com, Inc."
"1612","The Linux Foundation"
"1613","NetManage"
"1614","Spectral Games"
"1615","MOTU, Inc."
"1616","Panic Inc."
"1617","ALM Works Ltd."
"1618","Crystal Decisions, Inc."
"1619","Kitware, Inc."
"162","Canopy Productions Inc."
"1620","Boost Software License"
"1621","Phex Development Team"
"1622","Opera Software ASA"
"1623","DVDVideoSoft Limited."
"1624","Google"
"1625","Yahoo!"
"1626","Eltima Software"
"1627","ObjectPlanet, Inc."
"1628","Alpine Soft"
"1629","Jumsoft"
"163","CardTech / SecurTech"
"1630","Home Money Manager"
"1631","Noodlesoft, LLC"
"1632","Science Fair Projects World"
"1633","Altium Limited."
"1634","The FreeBSD Project"
"1635","emachines, inc."
"1636","Veronisoft"
"1637","iMacTools"
"1638","Willow Software"
"1639","Synium Software"
"164","Cardiff Software, Inc."
"1640","St. Clair Software"
"1641","Akella"
"1642","PERRLA, LLC."
"1643","Nikon Corporation"
"1644","Ichikawa soft Laboratory Co., Ltd."
"1645","AKVIS"
"1646","EVGA"
"1647","eColor"
"1648","BDG Publishing, Inc."
"1649","West Coast Publishing"
"165","Casady & Greene Inc."
"1650","King.com Limited"
"1651","Aeria Mobile LLC"
"1652","Aeria 51 LLC"
"1653","Sino Joy Group Limited"
"1654","36 You Games"
"1655","eBay Inc."
"1656","Snapchat, Inc."
"1657","AT&T Intellectual Property"
"1658","Synoptical Studios"
"1659","iHandySoft Inc."
"166","Cassidy & Greene Inc."
"1660","Sazze, Inc."
"1661","Big Duck Games LLC"
"1662","Frontier Developments Ltd."
"1663","TapMedia Ltd"
"1664","DYSoftware"
"1665","Dunkin' Donuts"
"1666","Dunkin' Brands Inc"
"1667","Twitter Inc."
"1668","FreshPlanet Inc."
"1669","Starbucks Coffee Company"
"167","Catalog Systems Inc."
"1670","PayPal, Inc."
"1671","Ulmon GmbH"
"1672","Burbn, Inc."
"1673","click2mobile"
"1674","Groupon, Inc."
"1675","Glu Mobile, Inc."
"1676","LELE Studio"
"1677","Carolina Patron"
"1678","WhaleShark Media, Inc. "
"1679","Pegasus Free Games LLC"
"168","Celeris Inc."
"1680","Ticketmaster"
"1681","Emoji Apps, LLC"
"1682","Emoji+, LLC."
"1683","Cie Games"
"1684","Shazam Entertainment Limited"
"1685","K-Factor Media LLC"
"1686","Pinterest, Inc."
"1687","Yelp, Inc."
"1688","Applibot, Inc."
"1689","Rovio Entertainment Ltd"
"169","Center Line Software"
"1690","Fingersoft"
"1691","Big Blue Clip, LLC"
"1692","iMonkey"
"1693","AMZN Mobile LLC"
"1694","EnLevel"
"1695","Clear Channel Broadcasting, Inc."
"1696","Fandango"
"1697","Top Free Games"
"1698","Netflix, Inc."
"1699","Games Faction"
"17","AST Research Inc."
"170","Central Point Software"
"1700","Target Corporation"
"1701","Kiloo Games"
"1702","Sybo Games"
"1703","Marvel and Subs."
"1704","Outplay Entertainment Ltd."
"1705","TiniDream Studios"
"1706","The Empire Group LLC"
"1707","Empire Apps Free"
"1708","Spotify Ltd."
"1709","Madfinger Games, a.s."
"171","ChenBros Software"
"1710","VirtueSoft.com"
"1711","Beijing Chukong Aipu Technology Co. Ltd."
"1712","Punchbox Studios"
"1713","Williams Interactive"
"1714","Araelium G"
"1715","Araelium Group"
"1716","Sensible Software, Inc."
"1717","Wondershare Software Co., Ltd."
"1718","Foolish IT, LLC"
"1719","AnchorFree Inc."
"172","Cheyenne Software Inc."
"1720","Matthew Gates"
"1721","Teacup Software"
"1722","Rising Antivirus International Pty Ltd"
"1723","Koingo Software, Inc."
"1724","Awem"
"1725","SoftSphere Technologies"
"1726","Stealth Diamond"
"1727","Perfect Sync Inc."
"1728","Power Basic Inc."
"1729","Sybase"
"173","Chris Elsbree"
"1730","GIANTS Software"
"1731","Bravo"
"1732","Open Source"
"1733","Quark"
"1734","Transera"
"1735","Research in Motion"
"1736","Rubicon Development"
"1737","TuneUp Media Inc."
"1738","Remedy Entertainment Ltd."
"1739","Kaizen Software Solutions, LLC"
"174","Chronos Limited Company"
"1740","EMATRIXSOFT, Inc. "
"1741","The Document Foundation"
"1742","Felenasoft Ltd. "
"1743","TT Games Publishing Ltd."
"1744","Office for Church Life and Leadership"
"1745","One Write"
"1746","National Institute of Justice"
"1747","ACE CAD Enterprise Co., Ltd. (ACECAD)"
"1748","Department of Energy"
"1749","Televideo"
"175","Cinnamon Interactive"
"1750","Nexar"
"1751","Pretty Good Privacy Inc."
"1752","Mortgage Manager Software"
"1753","IDE"
"1754","MMI"
"1755","BUSlink"
"1756","Delrina Corporation"
"1757","SPC Software Publishing Corporation"
"1758","MPC2"
"1759","SurfRight B.V."
"176","Cisco Systems Inc."
"1760","NETGATE Technologies s.r.o."
"1761","TOLIS Group, Inc."
"1762","thinkingBytes Technology, Inc."
"1763","Mira"
"1764","Internet Security Systems"
"1765","MathType"
"1766","Softkey International Inc."
"1767","Vitarsoft Co., Ltd."
"1768","Tenable Network Security"
"1769","PSS"
"177","Clarion"
"1770","Spotflux, Inc."
"1771","Biomatters, Ltd."
"1772","Scopely - Top Free Apps and Games LLC"
"1773","Surpax Technology Inc"
"1774","SilverTree Media"
"1775","Easy Tiger Apps, LLC."
"1776","KIK INTERACTIVE INC"
"1777","GAMEVIL USA, Inc."
"1778","LOTUM GmbH"
"1779","dirtyBit DA"
"178","Claris Corporation"
"1780","SightEra Technologies Ltd."
"1781","Itch Media"
"1782","Mega Rock, LLC"
"1783","Glu Games Inc"
"1784","Time, Inc"
"1785","Targa Limited"
"1786","6Nice Studio"
"1787","MAAB Labs"
"1788","Sitrusy Inc"
"1789","Phoenix Age, Inc"
"179","Clear Software Inc"
"1790","CloudOn, Inc"
"1791","Apprope"
"1792","SPiRE, Inc"
"1793","GasBuddy Organization Inc"
"1794","Wanelo, Inc."
"1795","Turbo Chilli Pty Ltd"
"1796","Alegrium"
"1797","FDG Entertainment"
"1798","Pheed limited"
"1799","Mojang AB"
"18","AT&T Inc."
"180","ClickArt"
"1800","Keyloft LLC"
"1801","Viber Media, Inc"
"1802","Sebastian Obentheuer"
"1803","Mobage, Inc."
"1804","RedSpell"
"1805","Uken Games"
"1806","Fishlabs"
"1807","Imangi Studios, LLC"
"1808","NBA Properties, inc"
"1809","TellTale Games"
"181","Cliff Notes Incorporated"
"1810","Hatch Labs, Inc"
"1811","Smule, Inc"
"1812","Bump Technologies, Inc"
"1813","Tarun Chauhan"
"1814","TangoMe, Inc"
"1815","Walgreens Co."
"1816","Trivie, Inc"
"1817","HRB Tax Group, Inc"
"1818","Thrillist"
"1819","Fuse Powered, Inc"
"182","Co Comp Inc."
"1820","Nagareshwar Talekar"
"1821","Resignation Media, LLC"
"1822","The Weather Channel, LLC"
"1823","TeamLava LLC"
"1824","Dropbox"
"1825","Vine Labs, Inc"
"1826","LinkedIn Corporation"
"1827","Imagination Unlimited Studio"
"1828","Booyah, Inc."
"1829","JPMorgan Chase & Co"
"183","Code-It .com"
"1830","TabTale LTD"
"1831","HalfBrick Studios"
"1832","CNN Interactive Group, Inc "
"1833","Supercell"
"1834","Gameloft"
"1835","I-Doser"
"1836","Advanced Chemistry Development"
"1837","Ivan Andrei"
"1838","Cleverfiles"
"1839","FireAlpaca"
"184","CodeWeavers, Inc."
"1840","ThreeDify"
"1841","Safer-Networking Ltd."
"1842","Icebergo Software Solutions"
"1843","CyberDefender"
"1844","Jason Parker"
"1845","Blue Phantom Marketing, Inc."
"1846","Antivirus Technologies"
"1847","Actiance Security Labs"
"1848","Lobotomo Software"
"1849","KeyLemon"
"185","Codemasters"
"1850","Lavasoft"
"1851","Javacool Software LLC"
"1852","Amazon Digital Services, Inc."
"1853","TRENDnet"
"1854","InFocus Corporation"
"1855","Electronic Frontier Foundation"
"1856","Layernet"
"1857","iFunia.com Software Downloads"
"1858","Feral Interactive"
"1859","Virtual Programming Ltd."
"186","Coeli Software Products"
"1860","Dan Selig"
"1861","Useful Fruit"
"1862","Integrated Sciences Group"
"1863","Proxima Corporation"
"1864","MindSpring Enterprises"
"1865","Ai Squared"
"1866","Macally Peripherals"
"1867","Microtech International"
"1868","PulseData International"
"1869","Pervasive Software"
"187","CoffeeCup Software Inc."
"1870","Olympus"
"1871","The J Maker"
"1872","Best Security Tips"
"1873","SAKINA"
