"ProductCode","ProductName","ProductVersion","OpSystemCode","MfgCode","Language","ApplicationType"
18394,"MSDN Disc 2939","June 2005","270","609","English","MSDN Library"
18394,"MSDN Disc 2939","June 2005","388","609","English","MSDN Library"
18394,"MSDN Disc 2939","June 2005","389","609","English","MSDN Library"
18394,"MSDN Disc 2939","June 2005","390","609","English","MSDN Library"
18394,"MSDN Disc 2939","June 2005","391","609","English","MSDN Library"
18395,"MSDN Disc 2940","June 2005","388","609","English","MSDN Library"
18395,"MSDN Disc 2940","June 2005","389","609","English","MSDN Library"
18395,"MSDN Disc 2940","June 2005","391","609","English","MSDN Library"
18397,"MSDN Disc 2449.4","June 2005","189","609","French,German,Italian,Spanish","MSDN Library"
18398,"MSDN Disc 2459.5","June 2005","189","609","Japanese","MSDN Library"
18399,"MSDN Disc 2432.8","June 2005","189","609","English","MSDN Library"
18400,"MSDN Disc 2470.3","June 2005","189","609","Korean,Simplified Chinese,Traditional Chinese","MSDN Library"
18401,"msdn Disc 2438.6","June 2005","189","609","German","MSDN Library"
18402,"MSDN Disc 2321","July 2003","189","609","Chinese-Simplified,Chinese-Traditional,Korean","MSDN Library"
18403,"MSDN Disc 1836","October 2002","189","609","Japanese","MSDN Library"
18404,"Microsoft","2003","189","609","Arabic,Chinese Hong Kong SAR,Chinese-Simplified,Czech,Danish,Dutch,English,Finnish,French,German,Greek,Hebrew,Hungarian,Italian,Japanese,Korean","Applications,Database"
18404,"Microsoft","2003","231","609","Arabic,Chinese Hong Kong SAR,Chinese-Simplified,Czech,Danish,Dutch,English,Finnish,French,German,Greek,Hebrew,Hungarian,Italian,Japanese,Korean","Applications,Database"
18405,"MSDN Disc 1226","July 2002","189","609","Japanese","MSDN Library"
18407,"MSDN Disc 2313","July 2003","189","609","French,German,Italian,Spanish","MSDN Library"
18408,"MSDN Disc 2314","July 2003","189","609","English,French,German,Italian,Portuguese-Brazil,Spanish","MSDN Library"
18409,"MSDN Disc 2316","July 2003","189","609","Japanese","MSDN Library"
18410,"msdn Disc 2465.3","January 2005","189","609","Simplified Chinese","MSDN Library"
18411,"MSDN Disc 2441.3","January 2005","189","609","Italian","MSDN Library"
18412,"Msdn Disc 2440.2","January 2005","189","609","Dutch","MSDN Library"
18413,"GarageBand Jam Band 1","1.0.1","346","67","English","music creation"
18414,"Adobe Photoshop elements 3.0","c. 2001-04","83","36","English","Picture Editor/Viewer"
18414,"Adobe Photoshop elements 3.0","c. 2001-04","84","36","English","Picture Editor/Viewer"
18415,"GarageBand Jam Pack 4: Symphony Orchestra","Version 1.0.1","84","67","English","Music"
18416,"Mac OS X Tiger","10.4","247","67","English","Operating System"
18417,"Tiger Woods PGA Tour 2005","2005","318","309","English","Game,Videogame"
18419,"Solaris 1.0.1","c.1983-1991","394","926","English","Operating System"
18420,"Sun Solutions CD","c.1997","200","926","English","Resource"
18420,"Sun Solutions CD","c.1997","211","926","English","Resource"
18420,"Sun Solutions CD","c.1997","384","926","English","Resource"
18420,"Sun Solutions CD","c.1997","392","926","English","Resource"
18420,"Sun Solutions CD","c.1997","393","926","English","Resource"
18421,"FineReader Pro 5 For MAC","1993-2001","76","21","English","OCR,Scanner related"
18421,"FineReader Pro 5 For MAC","1993-2001","98","21","English","OCR,Scanner related"
18422,"Mac Format Resource CD","c. 2005","86","369","English","Resource"
18423,"Mac Format Toolkit CD","c. 2005","86","369","English","toolkit"
18424,"Get Down To Business...","c. April 2005","86","1345","English","Game,Videogame,Sampler"
18425,"Mac Format Resource CD","c. 2005","86","369","English","toolkit"
18426,"Mac Format Resource CD","c. 2005","86","369","English","Resource"
18427,"The Ultimate Linux Magazine Archive","Iss.52,Mar 2005","51","1117","English","Archives"
18428,"MSDN Disc 2849","January 2005","189","609","multilanguage","MSDN Library"
18429,"Quicken 2003 for Mac","Copyright 2002","345","481","English","Financial,Management"
18429,"Quicken 2003 for Mac","Copyright 2002","76","481","English","Financial,Management"
18432,"iBank Personal Financial Manager","2007","329","1104","English","Financial"
18433,"Professional PDF Converter 5","2008","226","1107","English","Conversion Tool,pdf creation"
18433,"Professional PDF Converter 5","2008","237","1107","English","Conversion Tool,pdf creation"
18433,"Professional PDF Converter 5","2008","240","1107","English","Conversion Tool,pdf creation"
18433,"Professional PDF Converter 5","2008","241","1107","English","Conversion Tool,pdf creation"
18433,"Professional PDF Converter 5","2008","255","1107","English","Conversion Tool,pdf creation"
18434,"Printfolio","2003-2007","247","1108","English","Design"
18434,"Printfolio","2003-2007","256","1108","English","Design"
18435,"Family Pack 2009","2008","248","214","English","Multimedia,Office Suite"
18435,"Family Pack 2009","2008","249","214","English","Multimedia,Office Suite"
18435,"Family Pack 2009","2008","250","214","English","Multimedia,Office Suite"
